number,suit,left,right
W001,010000000,True,True
W002,020000000,True,True
W003,011000000,True,True
W004,010100000,True,True
W005,031000000,True,True
W006,030100000,True,True
W007,021100000,True,True
W008,012100000,True,True
W009,011110000,True,True
W010,031100000,True,True
W011,013100000,True,True
W012,012110000,True,True
W013,011111000,True,True
W014,043000000,True,True
W015,042100000,True,True
W016,041200000,True,True
W017,041110000,True,True
W018,040300000,True,True
W019,033100000,True,True
W020,032200000,True,True
W021,032110000,True,True
W022,031300000,True,True
W023,031210000,True,True
W024,031120000,True,True
W025,031111000,True,True
W026,031110100,True,True
W027,031030000,True,True
W028,030211000,True,True
W029,030111100,True,True
W030,030103000,True,True
W031,024100000,True,True
W032,023200000,True,True
W033,022210000,True,True
W034,022120000,True,True
W035,021211000,True,True
W036,021111100,True,True
W037,014110000,True,True
W038,013210000,True,True
W039,013111000,True,True
W040,012211000,True,True
W041,011311000,True,True
W042,011211100,True,True
W043,011111110,True,True
W044,033200000,True,True
W045,032300000,True,True
W046,031211000,True,True
W047,031130000,True,True
W048,031111100,True,True
W049,022220000,True,True
W050,014210000,True,
W051,012221000,True,True
W052,011411000,True,True
W053,011221100,True,True
W054,011211110,True,True
W055,011111111,True,True
W056,044200000,True,True
W057,044110000,True,True
W058,043300000,True,True
W059,043210000,True,True
W060,043111000,True,True
W061,042400000,True,True
W062,042310000,True,True
W063,042220000,True,True
W064,042211000,True,True
W065,041410000,True,True
W066,041311000,True,True
W067,041221000,True,True
W068,041211100,True,True
W069,041203000,True,True
W070,041121100,True,True
W071,041113000,True,True
W072,041111110,True,True
W073,041110300,True,True
W074,040111300,True,True
W075,034300000,True,True
W076,034210000,True,True
W077,034120000,True,True
W078,034111000,True,True
W079,034030000,True,True
W080,033310000,True,True
W081,033220000,True,True
W082,033211000,True,True
W083,033130000,True,True
W084,033111100,True,True
W085,033103000,True,True
W086,032410000,True,True
W087,032320000,True,True
W088,032311000,True,True
W089,032230000,True,True
W090,032221000,True,True
W091,032212000,True,True
W092,032211100,True,True
W093,032121100,True,True
W094,032113000,True,True
W095,032111110,True,True
W096,031420000,True,True
W097,031411000,True,True
W098,031321000,True,True
W099,031312000,True,True
W100,031311100,True,True
W101,031231000,True,True
W102,031222000,True,True
W103,031221100,True,True
W104,031213000,True,True
W105,031211110,True,True
W106,031141000,True,True
W107,031131100,True,True
W108,031122100,True,True
W109,031121200,True,True
W110,031121110,True,True
W111,031120300,True,True
W112,031113100,True,True
W113,031112200,True,True
W114,031112110,True,True
W115,031111300,True,True
W116,031111210,True,True
W117,031111120,True,True
W118,031111111,True,True
W119,311111101,True,True
W120,031111030,True,True
W121,031110211,True,True
W122,031110130,True,True
W123,311101111,True,True
W124,031110103,True,True
W125,031103110,True,True
W126,031101310,True,True
W127,031101130,True,True
W128,031100311,True,True
W129,031100131,True,True
W130,031100113,True,True
W131,311000311,True,True
W132,311000131,True,True
W133,311000113,True,True
W134,030411100,True,True
W135,030403000,True,True
W136,030322000,True,True
W137,030241000,True,True
W138,030222100,True,True
W139,030212110,True,True
W140,030211111,True,True
W141,030141100,True,True
W142,030131110,True,True
W143,030122200,True,True
W144,030114100,True,True
W145,030112210,True,True
W146,030111211,True,True
W147,301111111,True,True
W148,030111103,True,True
W149,024310000,True,True
W150,024220000,True,True
W151,024211000,True,True
W152,024111100,True,True
W153,023410000,True,True
W154,023320000,True,True
W155,023311000,True,True
W156,023310100,True,True
W157,023212000,True,True
W158,022411000,True,True
W159,022321000,True,True
W160,022311100,True,True
W161,022231000,True,True
W162,022222000,True,True
W163,022221100,True,True
W164,022211110,True,True
W165,021411100,True,True
W166,021241000,True,True
W167,021231100,True,True
W168,021222100,True,True
W169,021221110,True,True
W170,021141100,True,True
W171,021111211,True,True
W172,211111111,True,True
W173,014410000,True,True
W174,014311000,True,True
W175,014221000,True,True
W176,014211100,True,True
W177,014121100,True,True
W178,014111110,True,True
W179,013411000,True,True
W180,013321000,True,True
W181,013231000,True,True
W182,013221100,True,True
W183,013211110,True,True
W184,013131100,True,True
W185,013113100,True,True
W186,013112110,True,True
W187,013111111,True,True
W188,013103110,True,True
W189,013101310,True,True
W190,013100311,True,True
W191,013100131,True,True
W192,131000311,True,True
W193,131000131,True,True
W194,012421000,True,True
W195,012411100,True,True
W196,012321100,True,True
W197,012231100,True,True
W198,012222100,True,True
W199,012221110,True,True
W200,012212110,True,True
W201,012211111,True,True
W202,011421100,True,True
W203,011411110,True,True
W204,011331100,True,True
W205,011312110,True,True
W206,011311111,True,True
W207,011303110,True,True
W208,011300311,True,True
W209,113000311,True,True
W210,011231110,True,True
W211,011222110,True,True
W212,011212111,True,True
W213,011211211,True,True
W214,112111111,True,True
W215,011141110,True,True
W216,011131111,True,True
W217,111211111,True,True
W218,034310000,True,True
W219,033410000,True,True
W220,033320000,True,True
W221,033311000,True,True
W222,033230000,True,True
W223,031241000,True,True
W224,031222100,True,True
W225,031141100,True,True
W226,031111211,True,True
W227,031111130,True,True
W228,311111111,True,True
W229,023411000,True,True
W230,023311100,True,True
W231,022331000,True,True
W232,022231100,True,True
W233,014221100,True,True
W234,014211110,True,True
W235,012222110,True,True
W236,012221111,True,True
W237,011412110,True,True
W238,011411111,True,True
W239,112111211,True,True
W240,044410000,True,True
W241,044320000,True,True
W242,044311000,True,True
W243,044230000,True,True
W244,044221000,True,True
W245,044211100,True,True
W246,044203000,True,True
W247,044140000,True,True
W248,044121100,True,True
W249,044113000,True,True
W250,044111110,True,True
W251,044110300,True,True
W252,043420000,True,True
W253,043411000,True,True
W254,043330000,True,True
W255,043321000,True,True
W256,043311100,True,True
W257,043222000,True,True
W258,043221100,True,True
W259,043213000,True,True
W260,043211110,True,True
W261,043112110,True,True
W262,043111300,True,True
W263,043111111,True,True
W264,042430000,True,True
W265,042421000,True,True
W266,042412000,True,True
W267,042411100,True,True
W268,042331000,True,True
W269,042322000,True,True
W270,042321100,True,True
W271,042313000,True,True
W272,042311110,True,True
W273,042231100,True,True
W274,042223000,True,True
W275,042222100,True,True
W276,042221200,True,True
W277,042221110,True,True
W278,042220300,True,True
W279,042214000,True,True
W280,042212110,True,True
W281,042211300,True,True
W282,042211111,True,True
W283,042211030,True,True
W284,041422000,True,True
W285,041421100,True,True
W286,041413000,True,True
W287,041411110,True,True
W288,041410300,True,True
W289,041332000,True,True
W290,041322100,True,True
W291,041314000,True,True
W292,041312110,True,True
W293,041311300,True,True
W294,041311111,True,True
W295,041232100,True,True
W296,041222200,True,True
W297,041222110,True,True
W298,041221300,True,True
W299,041214100,True,True
W300,041212210,True,True
W301,041211400,True,True
W302,041211211,True,True
W303,412111111,True,True
W304,041211103,True,True
W305,041201113,True,True
W306,041143000,True,True
W307,041141110,True,True
W308,041140300,True,True
W309,041132200,True,True
W310,041124100,True,True
W311,041122210,True,True
W312,041121211,True,True
W313,041121130,True,True
W314,411211111,True,True
W315,041114110,True,True
W316,041113300,True,True
W317,041113111,True,True
W318,041112220,True,True
W319,041111410,True,True
W320,041111221,True,True
W321,041111140,True,True
W322,411111211,True,True
W323,041111113,True,True
W324,411111103,True,True
W325,411101113,True,True
W326,040133200,True,True
W327,401111113,True,True
W328,034420000,True,True
W329,034411000,True,True
W330,034330000,True,True
W331,034321000,True,True
W332,034312000,True,True
W333,034311100,True,True
W334,034231000,True,True
W335,034222000,True,True
W336,034221100,True,True
W337,034213000,True,True
W338,034211110,True,True
W339,034141000,True,True
W340,034131100,True,True
W341,034122100,True,True
W342,034121110,True,True
W343,034120300,True,True
W344,034112110,True,True
W345,034111300,True,True
W346,034111111,True,True
W347,034111030,True,True
W348,034011130,True,True
W349,033421000,True,True
W350,033412000,True,True
W351,033411100,True,True
W352,033403000,True,True
W353,033331000,True,True
W354,033322000,True,True
W355,033321100,True,True
W356,033313000,True,True
W357,033311200,True,True
W358,033311110,True,True
W359,033310300,True,True
W360,033241000,True,True
W361,033232000,True,True
W362,033231100,True,True
W363,033223000,True,True
W364,033222100,True,True
W365,033221110,True,True
W366,033213100,True,True
W367,033212110,True,True
W368,033211300,True,True
W369,033211111,True,True
W370,033203110,True,True
W371,033201310,True,True
W372,033201130,True,True
W373,033200311,True,True
W374,033200131,True,True
W375,033200113,True,True
W376,332000311,True,True
W377,332000131,True,True
W378,332000113,True,True
W379,033141100,True,True
W380,033133000,True,True
W381,033131110,True,True
W382,033122200,True,True
W383,033114100,True,True
W384,033112210,True,True
W385,033111211,True,True
W386,033111130,True,True
W387,331111111,True,True
W388,033111103,True,True
W389,033101113,True,True
W390,032431000,True,True
W391,032422000,True,True
W392,032421100,True,True
W393,032413000,True,True
W394,032411110,True,True
W395,032341000,True,True
W396,032332000,True,True
W397,032331100,True,True
W398,032323000,True,True
W399,032322100,True,True
W400,032321200,True,True
W401,032321110,True,True
W402,032313100,True,True
W403,032312110,True,True
W404,032311300,True,True
W405,032311111,True,True
W406,032303110,True,True
W407,032301310,True,True
W408,032301130,True,True
W409,032300311,True,True
W410,032300131,True,True
W411,032300113,True,True
W412,323000311,True,True
W413,323000131,True,True
W414,323000113,True,True
W415,032242000,True,True
W416,032241100,True,True
W417,032232100,True,True
W418,032231110,True,True
W419,032230300,True,True
W420,032223100,True,True
W421,032222200,True,True
W422,032222110,True,True
W423,032221300,True,True
W424,032221111,True,True
W425,032221030,True,True
W426,032213110,True,True
W427,032211211,True,True
W428,032211130,True,True
W429,322111111,True,True
W430,032124100,True,True
W431,032122210,True,True
W432,032114110,True,True
W433,321111211,True,True
W434,032111113,True,True
W435,031441000,True,True
W436,031432000,True,True
W437,031431100,True,True
W438,031422100,True,True
W439,031421200,True,True
W440,031421110,True,True
W441,031420300,True,True
W442,031412110,True,True
W443,031411300,True,True
W444,031411111,True,True
W445,031411030,True,True
W446,031342000,True,True
W447,031341100,True,True
W448,031332100,True,True
W449,031323100,True,True
W450,031322200,True,True
W451,031322110,True,True
W452,031321300,True,True
W453,031321111,True,True
W454,031313110,True,True
W455,031311211,True,True
W456,031311130,True,True
W457,313111111,True,True
W458,031242100,True,True
W459,031233100,True,True
W460,031232200,True,True
W461,031232110,True,True
W462,031224100,True,True
W463,031223200,True,True
W464,031223110,True,True
W465,031222210,True,True
W466,031222120,True,True
W467,031222111,True,True
W468,031222030,True,True
W469,031221211,True,True
W470,031221130,True,True
W471,312211111,True,True
W472,031221103,True,True
W473,031214110,True,True
W474,031212310,True,True
W475,031212130,True,True
W476,031211311,True,True
W477,031211131,True,True
W478,312111211,True,True
W479,031211113,True,True
W480,312110311,True,True
W481,312110131,True,True
W482,312110113,True,True
W483,031143100,True,True
W484,031142200,True,True
W485,031142110,True,True
W486,031141120,True,True
W487,031141111,True,True
W488,031141030,True,True
W489,031134100,True,True
W490,031133200,True,True
W491,031133110,True,True
W492,031132210,True,True
W493,031131310,True,True
W494,031131211,True,True
W495,031131130,True,True
W496,311311111,True,True
W497,031130311,True,True
W498,031130131,True,True
W499,031130113,True,True
W500,311300311,True,True
W501,311300131,True,True
W502,311300113,True,True
W503,031124200,True,True
W504,031124110,True,True
W505,031123210,True,True
W506,031123111,True,True
W507,031122310,True,True
W508,031122220,True,True
W509,031122211,True,True
W510,031121410,True,True
W511,031121311,True,True
W512,031121221,True,True
W513,311212111,True,True
W514,031121203,True,True
W515,311211211,True,True
W516,031121113,True,True
W517,311211103,True,True
W518,311201113,True,True
W519,031114210,True,True
W520,031114120,True,True
W521,031114111,True,True
W522,031114030,True,True
W523,031113310,True,True
W524,031113220,True,True
W525,031113211,True,True
W526,311131111,True,True
W527,031113103,True,True
W528,031112410,True,True
W529,031112320,True,True
W530,031112311,True,True
W531,031112221,True,True
W532,031112212,True,True
W533,311122111,True,True
W534,311121211,True,True
W535,031111420,True,True
W536,031111411,True,True
W537,031111321,True,True
W538,031111312,True,True
W539,311113111,True,True
W540,031111231,True,True
W541,031111222,True,True
W542,311112211,True,True
W543,031111141,True,True
W544,311111311,True,True
W545,311111221,True,True
W546,311111212,True,True
W547,311111203,True,True
W548,311111131,True,True
W549,311111122,True,True
W550,311111113,True,True
W551,311104111,True,True
W552,031110403,True,True
W553,031110322,True,True
W554,031110241,True,True
W555,311102221,True,True
W556,311101411,True,True
W557,311101222,True,True
W558,311101141,True,True
W559,031103320,True,True
W560,311031211,True,True
W561,031102222,True,True
W562,031101421,True,True
W563,031101241,True,True
W564,311011411,True,True
W565,031100332,True,True
W566,311002222,True,True
W567,311001421,True,True
W568,311001241,True,True
W569,311000332,True,True
W570,031013320,True,True
W571,030441100,True,True
W572,030431110,True,True
W573,030422200,True,True
W574,030414100,True,True
W575,030412210,True,True
W576,030411211,True,True
W577,304111111,True,True
W578,030411103,True,True
W579,030333100,True,True
W580,030323110,True,True
W581,030322111,True,True
W582,030242110,True,True
W583,030241111,True,True
W584,030233200,True,True
W585,030223210,True,True
W586,030222211,True,True
W587,302221111,True,True
W588,030222103,True,True
W589,030214111,True,True
W590,030212410,True,True
W591,030212221,True,True
W592,030211411,True,True
W593,030144100,True,True
W594,030142210,True,True
W595,030141211,True,True
W596,301411111,True,True
W597,030141103,True,True
W598,030134110,True,True
W599,030132220,True,True
W600,301311211,True,True
W601,030123310,True,True
W602,030122311,True,True
W603,301222111,True,True
W604,030114211,True,True
W605,301141111,True,True
W606,030113320,True,True
W607,030112321,True,True
W608,301122211,True,True
W609,301114111,True,True
W610,030111322,True,True
W611,030111241,True,True
W612,301112221,True,True
W613,301111411,True,True
W614,301111222,True,True
W615,301111141,True,True
W616,030101332,True,True
W617,024421000,True,True
W618,024412000,True,True
W619,024411100,True,True
W620,024331000,True,True
W621,024322000,True,True
W622,024321100,True,True
W623,024311110,True,True
W624,024241000,True,True
W625,024232000,True,True
W626,024231100,True,True
W627,024222100,True,True
W628,024221200,True,True
W629,024221110,True,True
W630,024212110,True,True
W631,024211111,True,True
W632,024141100,True,True
W633,024111211,True,True
W634,241111111,True,True
W635,023431000,True,True
W636,023422000,True,True
W637,023421100,True,True
W638,023411110,True,True
W639,023341000,True,True
W640,023332000,True,True
W641,023331100,True,True
W642,023322100,True,True
W643,023321200,True,True
W644,023321110,True,True
W645,023313100,True,True
W646,023312200,True,True
W647,023312110,True,True
W648,023311210,True,True
W649,023311120,True,True
W650,023311111,True,True
W651,233111101,True,True
W652,023310211,True,True
W653,233101111,True,True
W654,023303110,True,True
W655,023301310,True,True
W656,023300311,True,True
W657,023300131,True,True
W658,233000311,True,True
W659,233000131,True,True
W660,023223100,True,True
W661,023222200,True,True
W662,022441000,True,True
W663,022431100,True,True
W664,022422100,True,True
W665,022412110,True,True
W666,022411111,True,True
W667,022341100,True,True
W668,022332100,True,True
W669,022331110,True,True
W670,022322200,True,True
W671,022322110,True,True
W672,022314100,True,True
W673,022312210,True,True
W674,022311211,True,True
W675,223111111,True,True
W676,022242100,True,True
W677,022241110,True,True
W678,022233100,True,True
W679,022232110,True,True
W680,022231120,True,True
W681,022231111,True,True
W682,022224100,True,True
W683,022223110,True,True
W684,022222210,True,True
W685,022221310,True,True
W686,022221211,True,True
W687,222211111,True,True
W688,022220311,True,True
W689,022220131,True,True
W690,222200311,True,True
W691,222200131,True,True
W692,022214110,True,True
W693,022213111,True,True
W694,022212220,True,True
W695,022211410,True,True
W696,022211221,True,True
W697,222111211,True,True
W698,021441100,True,True
W699,021411211,True,True
W700,214111111,True,True
W701,021234100,True,True
W702,021233110,True,True
W703,021232210,True,True
W704,021232111,True,True
W705,021224110,True,True
W706,021222211,True,True
W707,212221111,True,True
W708,212211211,True,True
W709,021141211,True,True
W710,211411111,True,True
W711,021111241,True,True
W712,211112221,True,True
W713,211111411,True,True
W714,014431000,True,True
W715,014421100,True,True
W716,014411110,True,True
W717,014341000,True,True
W718,014331100,True,True
W719,014322100,True,True
W720,014321110,True,True
W721,014312110,True,True
W722,014311111,True,True
W723,014241100,True,True
W724,014232100,True,True
W725,014231110,True,True
W726,014223100,True,True
W727,014222110,True,True
W728,014221111,True,True
W729,014214100,True,True
W730,014213110,True,True
W731,014212210,True,True
W732,014212111,True,True
W733,014211310,True,True
W734,014211211,True,True
W735,142111111,True,True
W736,014210311,True,True
W737,014210131,True,True
W738,142100311,True,True
W739,142100131,True,True
W740,014141110,True,True
W741,014122210,True,True
W742,014121211,True,True
W743,141211111,True,True
W744,014114110,True,True
W745,014113111,True,True
W746,014111410,True,True
W747,014111221,True,True
W748,141111211,True,True
W749,013431100,True,True
W750,013412110,True,True
W751,013411111,True,True
W752,013341100,True,True
W753,013332100,True,True
W754,013331110,True,True
W755,013322110,True,True
W756,013321111,True,True
W757,013242100,True,True
W758,013241110,True,True
W759,013223110,True,True
W760,013222210,True,True
W761,013222111,True,True
W762,013214110,True,True
W763,132111211,True,True
W764,013131211,True,True
W765,131311111,True,True
W766,013114210,True,True
W767,013112221,True,True
W768,013111411,True,True
W769,131031211,True,True
W770,013101421,True,True
W771,131011411,True,True
W772,131001421,True,True
W773,012441100,True,True
W774,012432100,True,True
W775,012422110,True,True
W776,012421111,True,True
W777,012413110,True,True
W778,012411211,True,True
W779,124111111,True,True
W780,012410311,True,True
W781,124100311,True,True
W782,012341110,True,True
W783,012332110,True,True
W784,012323110,True,True
W785,012322210,True,True
W786,012322111,True,True
W787,012321211,True,True
W788,123211111,True,True
W789,012242110,True,True
W790,012241111,True,True
W791,012232210,True,True
W792,012231211,True,True
W793,122311111,True,True
W794,012224110,True,True
W795,012223111,True,True
W796,012222211,True,True
W797,012221311,True,True
W798,012221221,True,True
W799,122212111,True,True
W800,122211211,True,True
W801,012214111,True,True
W802,122121211,True,True
W803,012211411,True,True
W804,122113111,True,True
W805,122111221,True,True
W806,011441110,True,True
W807,011432110,True,True
W808,011431111,True,True
W809,011423110,True,True
W810,011422111,True,True
W811,011421211,True,True
W812,114211111,True,True
W813,011414110,True,True
W814,011413111,True,True
W815,011411311,True,True
W816,114112111,True,True
W817,114111211,True,True
W818,114110311,True,True
W819,011342110,True,True
W820,011341111,True,True
W821,011333110,True,True
W822,011331211,True,True
W823,113311111,True,True
W824,011323111,True,True
W825,011322211,True,True
W826,113221111,True,True
W827,011314111,True,True
W828,113031211,True,True
W829,011242111,True,True
W830,011241211,True,True
W831,112411111,True,True
W832,011232211,True,True
W833,112321111,True,True
W834,112311211,True,True
W835,011224111,True,True
W836,112222111,True,True
W837,112221211,True,True
W838,112141111,True,True
W839,112131211,True,True
W840,112123111,True,True
W841,112114111,True,True
W842,011143111,True,True
W843,111412111,True,True
W844,111322111,True,True
W845,111313111,True,True
W846,111241111,True,True
